family,variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement,average_outer_steps,compute_multiplier,runtime_proxy_multiplier
round12_ultralow,margin_regime,0.75,high_headroom_near_tie,70,0.11428571428571428,0.25,0.75,0.0,0.11428571428571428,0.0,0.0,0.02857142857142857,-0.15084261213030134,-0.014285714285714285,0.02857142857142857,3.2285714285714286,1.0761904761904761,1.0761904761904761
round12_ultralow,margin_regime,0.75,baseline_error_near_tie,144,0.05555555555555555,0.25,0.75,0.0,0.05555555555555555,0.0,0.020833333333333332,0.034722222222222224,-0.07332626978556316,-0.006944444444444444,0.013888888888888888,3.111111111111111,1.037037037037037,1.037037037037037
round12_ultralow,margin_regime,0.75,large_gap_control,1921,0.02342529932326913,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0,0.001041124414367517,3.046850598646538,1.0156168662155127,1.0156168662155127
round12_ultralow,margin_regime,1.0,overall,8683,0.010134746055510768,0.022727272727272728,0.9772727272727273,0.0,0.0009213405505009789,0.0,0.9651042266497755,0.966140734769089,-0.007483067963374014,-0.00023033513762524472,0.0010365081193136013,3.0202694921110216,1.0067564973703405,1.0067564973703405
round12_ultralow,margin_regime,1.0,stable_positive_v2,4,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,-2.6397457122802734,-0.25,0.5,4.0,1.3333333333333333,1.3333333333333333
round12_ultralow,margin_regime,1.0,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,margin_regime,1.0,hard_near_tie,1489,0.006715916722632639,0.2,0.8,0.0,0.005372733378106112,0.0,0.9053055742108798,0.9066487575554063,-0.007091324949040359,-0.000671591672263264,0.001343183344526528,3.0134318334452654,1.0044772778150886,1.0044772778150886
round12_ultralow,margin_regime,1.0,high_headroom_near_tie,70,0.11428571428571428,0.25,0.75,0.0,0.11428571428571428,0.0,0.0,0.02857142857142857,-0.15084261213030134,-0.014285714285714285,0.02857142857142857,3.2285714285714286,1.0761904761904761,1.0761904761904761
round12_ultralow,margin_regime,1.0,baseline_error_near_tie,144,0.05555555555555555,0.25,0.75,0.0,0.05555555555555555,0.0,0.020833333333333332,0.034722222222222224,-0.07332626978556316,-0.006944444444444444,0.013888888888888888,3.111111111111111,1.037037037037037,1.037037037037037
round12_ultralow,margin_regime,1.0,large_gap_control,1921,0.03331598125976054,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0,0.001041124414367517,3.066631962519521,1.0222106541731737,1.0222106541731737
