group,label,budget_pct,stable_positive_recall,system_target_match,hard_mean_delta_regret,overall_mean_delta_regret,overall_mean_delta_miss
negative_cleanup_source,sharp_negative_tail,1.5,0.75,0.9073203492276696,-0.0089435987299604,-0.015347135900339,-0.0002303351376252
negative_cleanup_source,sharp_plus_mass_negative_tail,1.5,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0151268549930475,-0.00023020257826885
negative_cleanup_source,branchwise_max_union,2.0,1.0,0.90678327332865,-0.010151794330532999,-0.01671719527174505,-0.00023020257826885
negative_cleanup_source,fixed_negative_tail,2.0,1.0,0.9079919408999328,-0.0099588218673593,-0.0138029807808074,-0.0002303351376252
negative_cleanup_source,mass_negative_tail,2.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0156694566661324,-0.00023020257826885
negative_cleanup_source,sharp_negative_tail,2.0,0.75,0.9073203492276696,-0.0089435987299604,-0.015347135900339,-0.0002303351376252
negative_cleanup_source,sharp_plus_mass_negative_tail,2.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0163578017099328,-0.00023020257826885
support_agree_mix,branchwise_max_support_agree_mix,0.75,0.6666666666666666,0.9052612033134293,-0.0063538988612739,-0.0136858548592878,-0.00023020257826885
support_agree_mix,memory_agree_blend,0.75,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.01092878878450415,-0.00023020257826885
support_agree_mix,sharp_negative_support_agree_mix,0.75,0.75,0.9073203492276696,-0.0089435987299604,-0.014446054805908,-0.0002303351376252
support_agree_mix,support_weighted_agree_mix,0.75,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0136532140975038,-0.00023020257826885
support_agree_mix,branchwise_max_support_agree_mix,1.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.014472873105311,-0.00023020257826885
support_agree_mix,memory_agree_blend,1.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.01092878878450415,-0.00023020257826885
support_agree_mix,sharp_negative_support_agree_mix,1.0,0.75,0.9073203492276696,-0.0089435987299604,-0.0151623640551375,-0.0002303351376252
support_agree_mix,support_weighted_agree_mix,1.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.014813677930439,-0.00023020257826885
support_agree_mix,branchwise_max_support_agree_mix,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0158613185091457,-0.00023020257826885
support_agree_mix,memory_agree_blend,1.5,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.01239014686476825,-0.00023020257826885
support_agree_mix,sharp_negative_support_agree_mix,1.5,0.75,0.9073203492276696,-0.0089435987299604,-0.015347135900339,-0.0002303351376252
support_agree_mix,support_weighted_agree_mix,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0158020777288162,-0.00023020257826885
support_agree_mix,branchwise_max_support_agree_mix,2.0,1.0,0.90678327332865,-0.010151794330532999,-0.01671719527174505,-0.00023020257826885
support_agree_mix,memory_agree_blend,2.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.012720722604234699,-0.00023020257826885
support_agree_mix,sharp_negative_support_agree_mix,2.0,0.75,0.9073203492276696,-0.0089435987299604,-0.015347135900339,-0.0002303351376252
support_agree_mix,support_weighted_agree_mix,2.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01654299992125105,-0.00023020257826885
