family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,source_name
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,overall,2,8683,44,4,2,0.005067374708042225,0.6666666666666666,0.045454545454545456,0.9545454545454546,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.966254763744988,-0.008088808431592973,0.0,-1.5958029140125622,0.0,-0.00023020257826887662,-0.045454545454545456,0.0011520739772087245,-979151678.7756042,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,stable_near_tie,2,1436,17,4,2,0.01121957953693843,0.6666666666666666,0.16346153846153846,0.8365384615384616,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-0.7071619033813477,0.0,-0.0006172839506172839,-0.038461538461538464,0.0014160059953457183,-955849406.2769463,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-5.279491424560547,-5.279491424560547,-0.5,-0.5,0.6666666666666666,-166666662.53451177,5.1604402715,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249999999.74110195,-24999999.50809373,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,baseline_error_near_tie,2,144,25,4,2,0.17470576885973374,0.6666666666666666,0.0992063492063492,0.9007936507936507,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.44515603686135913,0.0,-0.007042253521126761,-0.027777777777777776,0.013891568589619912,-568975495.7557535,3.958380031499999,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,hard_near_tie,2,1489,25,4,2,0.016144552745580142,0.6666666666666666,0.0992063492063492,0.9007936507936507,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.44515603686135913,0.0,-0.0006009615384615385,-0.027777777777777776,0.0013619965460718885,-957497292.3703876,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,high_headroom_near_tie,2,70,25,4,2,0.3571428571428571,0.6666666666666666,0.0992063492063492,0.9007936507936507,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.44515603686135913,0.0,-0.014285714285714285,-0.027777777777777776,0.02857142857142857,-228571426.5311045,4.485784566499996,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,large_gap_control,2,1921,6,0,0,0.0031133803809337973,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,-1.5715010166168213,0.0,0.0,0.0,0.0010309278350515464,-993278372.1746006,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,overall,2,8683,66,4,2,0.007601062062063337,0.6666666666666666,0.030303030303030304,0.9696969696969697,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.9663699976698554,-0.008675213075956211,0.0,-1.1409719351566199,0.0,-0.00023020257826887662,-0.030303030303030304,0.0012673079020762055,-979151678.7756042,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,stable_near_tie,2,1436,25,4,2,0.01670216542421015,0.6666666666666666,0.0992063492063492,0.9007936507936507,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-0.44515603686135913,0.0,-0.0006172839506172839,-0.027777777777777776,0.0014160059953457183,-955849406.2769463,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-5.279491424560547,-5.279491424560547,-0.5,-0.5,0.6666666666666666,-166666662.53451177,5.1604402715,rerun1
